,id,Group,time-point,HPRT1,MX1,IRF7,OAS1,MX1 Ct ratio,IRF7 Ct ratio,OAS1 Ct ratio,MX1 Ct log,IRF7 Ct log,OAS1 Ct log,delta MX1,delta HPRT1,delta-delta MX1,Fold Change MX1,delta IRF7,delta-delta IRF7,Fold Change IRF7,delta OAS1,delta-delta OAS1,Fold Change OAS1
24,28,rapamycin + HIV,Bleed 9-9,32.4378283572228,28.9325689723102,28.4695090645673,29.727895420783,0.8919391475190386,0.8776638420749308,0.9164576337664605,0.11435736899937227,0.1304916264558148,0.08723943888490092,-1.5780441488922818,-0.04515294562112615,-1.5328912032711557,2.8936515470402466,-1.101436998683262,-1.0562840530621358,2.0795682774475606,-1.7126771634718168,-1.6675242178506906,3.1766897964440832
25,29,spermidine + HIV,Bleed 9-9,33.8497196958939,30.3841326875547,29.6840392897246,30.5361307210336,0.8976184429450507,0.8769360442687915,0.902108820852001,0.10801019747174874,0.13132121484635792,0.10302012223632094,-0.1264804336477816,1.3667383930499781,-1.4932188266977597,2.815163719792362,0.11309322647403519,-1.253645166575943,2.3844312174155244,-0.9044418632212157,-2.271180256271194,4.827178768839065
26,31,rapamycin + HIV,Bleed 9-9,32.8915691316721,29.0699638314599,28.6470718378315,29.8807490792256,0.883812010156357,0.8709548554266611,0.9084622554675476,0.12351089715361989,0.13816513421151444,0.09600193799956132,-1.4406492897425807,0.4085878288281748,-1.8492371185707555,3.6030960686395925,-0.9238742254190626,-1.3324620542472374,2.5183207644838927,-1.5598235050292182,-1.968411333857393,3.9133694947105013
27,32,spermidine + HIV,Bleed 9-9,33.0213989827911,29.2448360035568,28.8566586101917,30.1113378578361,0.8856328594314725,0.8738775309074632,0.9118734755462191,0.12145279413030588,0.1348150379648375,0.09225403148581915,-1.2657771176456833,0.5384176799471732,-1.8041947975928565,3.4923418805840853,-0.7142874530588621,-1.2527051330060353,2.382878071918887,-1.329234726418715,-1.8676524063658881,3.649382589550484
28,33,DMSO + HIV,Bleed 9-9,,,29.379017598426,30.317510932445,,,,,,,,,,,-0.1919284648245636,,,-1.1230616518098167,,
29,1,uninfected control,Bleed 9-22,30.7650259232404,29.2508508260787,28.9524907152941,30.5602923092083,0.950782583413399,0.9410845545045654,0.9933452481222373,0.050469861487389606,0.06072228742446433,0.006676993468802881,-0.4301491785463405,-0.9157393739531621,0.4855901954068216,0.714204834413306,-0.27862502551772295,0.6371143484354391,0.6429977755017566,-0.35812507274623684,0.5576143012069252,0.6794247595088614
30,2,uninfected control,Bleed 9-22,31.2802532867732,29.2034509632958,29.009725158345,30.8347791164173,0.9336066014415692,0.9274133713812257,0.9857586137084041,0.06870012708195233,0.07535588899066896,0.014343768034423254,-0.47754904132924025,-0.4005120104203641,-0.07703703090887615,1.054849392457737,-0.22139058246682453,0.17912142795353958,0.88324070824034,-0.08363826553723541,0.3168737448831287,0.8028076420507286
31,3,uninfected control,Bleed 9-22,32.0499296620835,29.8693109410306,29.4048092633164,31.1067706008016,0.9319618250634519,0.9174687611905622,0.9705721955952465,0.07046342536778681,0.08613674738175552,0.029869489036584915,0.18831093640556062,0.36916436488993654,-0.1808534284843759,1.1335542427675234,0.17369352250457837,-0.19547084238535817,1.1450978172627666,0.18835321884706246,-0.18081114604287407,1.1335210210974889
32,4,uninfected control,Bleed 9-22,31.9012140483356,29.6539316250542,29.0377727126309,30.7038098404221,0.9295549561256071,0.9102403647909414,0.9624652464292037,0.07304934917292742,0.09404657721640959,0.038257321078115164,-0.027068379570842183,0.22044875114203677,-0.24751713071287895,1.187162256974852,-0.19334302818092297,-0.41379177932295974,1.332182540540541,-0.21460754153243755,-0.4350562926744743,1.351963584412884
33,5,uninfected control,Bleed 9-22,32.4074035655351,30.4274556676659,29.7507808544727,31.3864350429234,0.9389044576229226,0.9180242037690521,0.9684958247103298,0.0630415540210319,0.08553152294772247,0.0320111072333521,0.7464556630408588,0.7266382683415351,0.019817394699323643,0.9863575421840755,0.5196651136608779,-0.20697315468065725,1.1542639390536367,0.46801766096886155,-0.25862060737267356,1.1963343159274158
